"Name","Address","Signup/Start","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Pre-signup","on site signup","requiements / info (dates if specific) ","set time/rules","Price for Time","Web/signup","Coordinates"
"Flight path","1832 S 120th St, Burien, WA 98168","8/8:30pm-10pm","no","no","Yes","no","no","no","no","no","yes","","5/","Free","","[47.495869,-122.308577]"
"Blue Curtain comedy","9030 Martin Way E, Olympia, WA 98516","7pm/8pm","no","no","Yes","no","no","no","no","yes","yes","Message blue curtain comedy on instagram or FB","","","","[47.060073079324646,-122.7483941219858]"
"Remedy speakeasy","602 4th St, Bremerton, WA 98337","8:30pm/9pm","no","no","Yes","no","no","no","no","","yes","","3/","Free","","[47.56587784563759,-122.62809243624162]"
"Wig Wam","3548 W Belfair Valley Rd, Bremerton, WA 98312","6:30pm/7pm","no","no","Yes","no","no","no","no","","yes","","","","","[47.529309517485856,-122.69877649760231]"
"McFiler's Chehalis Theater","543 NW Pacific Ave, Chehalis, WA 98532","/8pm","no","no","Yes","no","no","no","no","","","","","","","[46.665133015175506,-122.97099120640189]"
"Shanahan’s Pub","209 W McLoughlin Blvd. Vancouver, WA 98660","/8pm","no","no","Yes","no","no","no","no","yes","yes","","","","","[45.63474409525619,-122.67282599294451]"
"Sam's Mic","11848 98th Ave NE, Kirkland, WA 98034","8pm/9pm","no","no","no","Yes","no","no","no","no","yes","","","Free","","[47.70630303125,-122.2103723125]"
"The Whit's End","6510 Phinney Ave N, Seattle, WA 98103","/8pm","no","no","no","REQ. ->","no","no","no","no","yes","2nd, 4th Thu. of every month","","Free","","[47.67631853800916,-122.35423372157825]"
"Neighbors","1509 Broadway, Seattle, WA 98122","9pm/","no","no","no","Yes","no","no","no","yes","yes","Competition Cash prize for 1st place $100 and 2nd place $50, 3rd place get $25 tab","","Free","","[47.6142726122449,-122.32090514285714]"
"Cheat Day","2322 2nd Ave, Seattle, WA 98121","6:30pm/7pm","no","no","no","Yes","no","no","no","","yes","","5/","Free","https://www.facebook.com/events/1404587630068721/1404587643402053/","[47.61418414285714,-122.3460825]"
"The 884 pub","757 S National Ave, Bremerton, WA 98312","/7pm-9pm","no","no","no","Sep.","no","no","no","no","yes","","5-8/","Free","","[47.554832950000005,-122.66816905704633]"
"North End","5037 N Pearl St, Ruston, WA 98407","/8pm","","","no","REQ. ->","no","no","no","","","Last Thurs.","","","","[47.2678749,-122.5158354]"
"Bobs comedy jive","2102 S Tacoma Way, Tacoma, WA 98409","/8:30pm","no","no","no","Yes","no","no","no","yes","","send email on Tue.","4/ do not punch down","Free","","[47.1997328,-122.4837111]"
"Doomsday Brewing","1919 Main St, Vancouver, WA 98660","/6-9pm","no","no","no","Yes","no","no","no","yes","","Message between 12-5pm for spot","","","https://www.instagram.com/ru6y_r/","[45.63657293877551,-122.67134326530612]"
"Beach Cat Brewing","7876 Birch Bay Dr #101, Blaine, WA 98230","7:30pm/8pm","no","no","no","no","REQ. ->","no","no","","","1st Fri.","","","","[48.927604,-122.74481]"
"Inner Visions","4548 University Way NE, Seattle, WA 98105","6:30pm/7pm","no","no","no","no","REQ. ->","no","no","","yes","1st Fri.","10/ do not punch down","","","[47.66262848,-122.31298679999999]"
"Bickersons Brewhouse","1514 NW Leary Wy, Seattle, WA 98107","5:30pm/6pm","no","no","no","no","Yes","no","no","no","yes","","","","","[47.66374754073164,-122.37685040311688]"
"Dog days brewing","260 4th st, Bremerton, WA 98337","6:30pm/7pm","no","no","no","no","Yes","no","no","no","yes","","4/","Free","","[47.56588540330585,-122.62479307158252]"
"Everett Improv","2610 Colby Ave Units A-B, Everett, WA 98201","5pm/5:30pm","no","no","no","no","no","REQ. ->","no","","yes","Last Sat.","/ do not punch down","Free","","[47.982794,-122.208952]"
"Geeky comedy seattle","1313 4th Ave, Seattle, WA 98119","4:45pm/5pm","no","no","no","no","no","REQ. ->","no","no","yes","1st Sat., ""geeky"" material focus","5/ do not punch","Free","","[47.608385,-122.33515379591837]"
"Naked brunch","2322 2nd Ave, Seattle, WA 98121","5pm/5:30pm","no","no","no","no","no","Yes","no","no","yes","","5+/","Free","","[47.61418414285714,-122.3460825]"
"St. Andrews Pub","7406 Aurora Ave N, Seattle, WA 98103","/8pm","no","no","no","no","no","no","Yes","Yes","(Bucket list)","","","Free","https://docs.google.com/forms/d/e/1FAIpQLScmwRabJJfYwK8w6khDG4iWW_n0DIYg2Ovvv4lhvjFb-SgcrA/viewform","[47.68295204123711,-122.34426424742267]"
"Off the top","3509 Fremont Ave N, Seattle, WA 98103","/8pm","no","no","no","no","no","no","Yes","Yes","yes","","","Free","","[47.65068826530612,-122.34998514285715]"
"Four Horsemen Brewery","30221 148th Ave SE, Kent, WA 98042","/12pm-5pm","no","no","no","no","no","no","Yes","","","","","","","[47.330772180105974,-122.14444138385106]"
